"transferee_country","transferee_name","amount","blurb","sector","website","flag","URL"
"Australia","Plotlogic Pty, Ltd",180366,"Provides geologic scanning technology to mining concerns.","Other","plotlogic.com",NA,"https://plotlogic.com/"
"Austria","Bitpanda GmbH",453693,"Cryptocurrency and stock trading app marketed to beginners","Cryptocurrency & Stock","bitpanda.comen",NA,"https://www.bitpanda.com/en"
"Belgium","Apollo Topco B.V.",365946,"[No verifiable details]","NA","companyweb.been0769685496apollo-topco",NA,"https://www.companyweb.be/en/0769685496/apollo-topco"
"British Virgin Islands","Pplingo Holdings, Ltd",143831,"[No verifiable details]","NA",NA,NA,NA
"Canada","ADA Support, Inc.",192594,"AI customer service agents that automates responses to customer texts, emails, or phonecalls","Gen AI","ada.cx",NA,"https://www.ada.cx/"
"Canada","Aviron Interactive Inc.",159728,"Makes physical fitness and excersise machines","Other","avironactive.com",NA,"https://www.avironactive.com/"
"Canada","Chargelab Inc.",109479,"Software infrastructure for electric vehicle chargers in North America","Software & Tech","chargelab.co",NA,"https://chargelab.co/"
"Canada","Neo Financial Technologies Inc.",349483,"Mobile-first alternative bank","Banking","neofinancial.com",NA,"https://www.neofinancial.com/"
"Canada","Paper Education Company Inc",873406,"Live tutoring for K-12 students","Education","paper.co",NA,"https://paper.co/"
"Canada","Skywatch Space Applications Inc",154219,"Sells geospatial data drawn from near-Earth satellites","Software & Tech","skywatch.com",NA,"https://skywatch.com/"
"Canada","Swift Medical Inc",137643,"Software that helps doctors treat wounds using smartphone cameras","Medicine & Biotech","swiftmedical.com",NA,"https://swiftmedical.com/"
"Cayman Islands","AL Services",191768,"[No verifiable details]","NA",NA,NA,NA
"Cayman Islands","Opay Limited",148148,"[No verifiable details]","NA",NA,NA,NA
"Cayman Islands","Rei Do Pitaco Limited",159806,"Brazilian sports-betting app","Mobile Apps","reidopitaco.bet.br","T","https://reidopitaco.bet.br/"
"Cayman Islands","Salt Pay Co Ltd.",343363,"Digital payment processing","Software & Tech",NA,NA,NA
"Cayman Islands","Webull Corporation",333005,NA,NA,NA,NA,NA
"Colombia","Ubits Learning Solutions, S.A.S.",180202,"HR software and training modules","Software & Tech","ubits.com",NA,"https://ubits.com/"
"Denmark","Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)",117696,"""Dressage, show jumping, and equestrian events""","Other","globalequestriangroup.com",NA,"https://globalequestriangroup.com/"
"France","Shares S.A.S",137371,"Stock trading software","Cryptocurrency & Stock","shares.io",NA,"https://www.shares.io/"
"France","Skaleet SA F/K/A Tagpay SA",133964,"Backend finance software for banks","Banking","skaleet.comenabout-us",NA,"https://skaleet.com/en/about-us"
"France","Swile",253882,"Virtual card for employee benefits, particularly meal vouchers","Software & Tech","swile.co",NA,"https://www.swile.co/"
"Germany","Barbara Sturm Molecular Cosmetics GmbH",235443,"Skincare and cosmetics products","Medicine & Biotech","drsturm.com",NA,"https://www.drsturm.com/"
"Germany","Castle Tech GmbH",116346,"Online auction platform for used car dealers","Software & Tech","caronsale.comen",NA,"https://www.caronsale.com/en"
"Germany","Clue By Biowink GmbH",161483,"Period tracking app","Mobile Apps","helloclue.com","T","https://helloclue.com/"
"Germany","Flixmobility GmbH",363408,"Cheap long-distance bus travel in the United States","Other","flixbus.com",NA,"https://www.flixbus.com/"
"Germany","Morressier GmbH",107700,"Software backbone for scientific research journals","Software & Tech","hubspot.morressier.com",NA,"https://hubspot.morressier.com/"
"Germany","N26 GmbH",51126,"Mobile-first alternative bank","Banking","n26.comen-eu",NA,"https://n26.com/en-eu"
"Germany","Nufin GmbH",306534,"Company accounting software","Software & Tech","getmoss.com",NA,"https://www.getmoss.com/"
"Germany","Scalable Capital GmbH",223832,"Stock trading app","Cryptocurrency & Stock","de.scalable.capitalen",NA,"https://de.scalable.capital/en"
"Israel","Cyber Hunters Ltd.",135242,"Cybersecurity software for small companies","Cybersecurity","hunters.security",NA,"https://www.hunters.security"
"Israel","Fireblocks Ltd.",477298,"Backend infrastructure for digital money transfers and cryptocurrency","Software & Tech","fireblocks.com",NA,"https://www.fireblocks.com/"
"Israel","Mobilesson Ltd.",384713,"HR software","Software & Tech","connecteam.com",NA,"https://connecteam.com/"
"Israel","Orca Security Ltd.",239026,"Cybersecurity firm specializing in cloud security","Cybersecurity","orca.security",NA,"https://orca.security/"
"Jersey","PW Real Estate Fund III Feeder LP",395802,"[No verifiable details]","NA",NA,NA,NA
"Luxembourg","Jokr S.A.R.L.",238846,"Grocery delivery app","Mobile Apps","jokr.com",NA,"https://www.jokr.com/"
"Netherlands","Blue Phoenix Holding B.V.",413016,"[No verifiable details]","NA",NA,NA,NA
"Netherlands","Davanti Group BV",11612,"Warehouse management software","Software & Tech","davanti-wics.comen",NA,"https://davanti-wics.com/en/"
"Netherlands","Newcold Argentan Holding BV",14023,"[No verifiable details]","NA",NA,NA,NA
"Netherlands","Newcold Corby Holding II B.V.",102724,"[No verifiable details]","NA",NA,NA,NA
"Netherlands","Newcold Development BV",1955,"[No verifiable details]","NA",NA,NA,NA
"Netherlands","Newcold Rheine Holdings II BV",12507,"[No verifiable details]","NA",NA,NA,NA
"Netherlands","Rehab and Mental Healthcare Group B.V.",962628,"[No verifiable details]","NA",NA,NA,NA
"Singapore","Bizmo Technologies Pte. Ltd.",111885,"Software development contractor","Software & Tech","bizmo-tech.com",NA,"https://bizmo-tech.com/"
"Singapore","DEFI Holding PTE. Ltd.",118634,"Cryptocurrency trading platform","Cryptocurrency & Stock","vauld.com",NA,"https://www.vauld.com"
"Singapore","Leap Technologies Private Ltd",160001,"[No verifiable details]","NA",NA,NA,NA
"Singapore","Shopup PTE. Ltd.",287113,"Software infrastructure for small retailers in Bangladesh","Software & Tech","shopup.org",NA,"https://shopup.org/"
"Singapore","Svava Pte. Ltd.",133450,"AI coworking agents","Gen AI","svava.io","T","https://svava.io/"
"Singapore","Tulp Street Pte Limited",206008,"Software infrastructure for clinical trials","Medicine & Biotech","lummo.io",NA,"https://www.lummo.io/"
"South Africa","Yoco Holdings C1/GBL",225036,"Card machines and online payment vendor","Software & Tech","yoco.com",NA,"https://www.yoco.com/"
"Spain","Glovoapp23, S.L.",321423,"Food delivery app","Mobile Apps","glovoapp.comen",NA,"https://glovoapp.com/en"
"Spain","The Power MBA",231645,"Online business masters program","Education","thepower.educationen",NA,"https://thepower.education/en"
"Sweden","Kry International AB",282096,"Telehealth software","Medicine & Biotech","kry.health",NA,"https://kry.health/"
"Sweden","Majority AB",152726,"Mobile banking for non-citizens residing in the U.S.","Banking","majority.com",NA,"https://majority.com"
"Switzerland","Portofino Technologies AG",148019,"Software infrastructure for cryptocurrency","Cryptocurrency & Stock","portofino.tech",NA,"https://www.portofino.tech/"
"Turkey","Dream Games Holdings Ltd",244940,"Developer of mobile games including Royal Match and Royal Kingdom","Mobile Apps","dreamgames.com","T","https://www.dreamgames.com/"
"United Kingdom","Bought by Many Limited",326566,"Health insurance for pets","Other","manypets.com",NA,"https://manypets.com"
"United Kingdom","Kuda Technologies Limited",441681,"Mobile banking app based in Africa","Banking","kuda.com",NA,"https://kuda.com/"
"United Kingdom","Lion TopCo Limited",204312,"[No verifiable details]","NA",NA,NA,NA
"United Kingdom","Motorway Online Ltd",153880,"Mobile-first used car reseller","Mobile Apps","motorway.co.uk",NA,"https://motorway.co.uk/"
"United Kingdom","SNYK, Ltd",341712,"AI-first cybersecurity platform","Cybersecurity","snyk.io",NA,"https://snyk.io/"
"United Kingdom","Synthesia Limited",167368,"AI video generation","Gen AI","synthesia.io",NA,"https://www.synthesia.io/"
"United Kingdom","Tangerine Financial Limited",95006,"[Company dissolved in 2024]","NA",NA,NA,NA
